Frame	Timestamp(s)	VAD_Score	VAD_Result
0	0.000	0.683352	1
1	0.016	0.760905	1
2	0.032	0.749655	1
3	0.048	0.790203	1
4	0.064	0.804416	1
5	0.080	0.797917	1
6	0.096	0.821142	1
7	0.112	0.778345	1
8	0.128	0.796517	1
9	0.144	0.771873	1
10	0.160	0.760879	1
11	0.176	0.797317	1
12	0.192	0.721591	1
13	0.208	0.699714	1
14	0.224	0.765759	1
15	0.240	0.799444	1
16	0.256	0.794565	1
17	0.272	0.800823	1
18	0.288	0.813639	1
19	0.304	0.812561	1
20	0.320	0.806589	1
21	0.336	0.767871	1
22	0.352	0.773916	1
23	0.368	0.743248	1
24	0.384	0.749800	1
25	0.400	0.760243	1
26	0.416	0.750557	1
27	0.432	0.743502	1
28	0.448	0.760101	1
29	0.464	0.769068	1
30	0.480	0.778211	1
31	0.496	0.763048	1
32	0.512	0.773873	1
33	0.528	0.789246	1
34	0.544	0.857965	1
35	0.560	0.826627	1
36	0.576	0.752329	1
37	0.592	0.732685	1
38	0.608	0.729298	1
39	0.624	0.743873	1
40	0.640	0.772824	1
41	0.656	0.781735	1
42	0.672	0.773291	1
43	0.688	0.774337	1
44	0.704	0.785425	1
45	0.720	0.813191	1
46	0.736	0.863951	1
47	0.752	0.848129	1
48	0.768	0.827362	1
49	0.784	0.800873	1
50	0.800	0.802413	1
51	0.816	0.795400	1
52	0.832	0.764125	1
53	0.848	0.772567	1
54	0.864	0.816170	1
55	0.880	0.818049	1
56	0.896	0.812523	1
57	0.912	0.790917	1
58	0.928	0.798716	1
59	0.944	0.794920	1
60	0.960	0.788779	1
61	0.976	0.816980	1
62	0.992	0.830572	1
63	1.008	0.787501	1
64	1.024	0.801531	1
65	1.040	0.783394	1
66	1.056	0.785356	1
67	1.072	0.786488	1
68	1.088	0.761921	1
69	1.104	0.770988	1
70	1.120	0.757768	1
71	1.136	0.709473	1
72	1.152	0.726343	1
73	1.168	0.677911	1
74	1.184	0.690477	1
75	1.200	0.768112	1
76	1.216	0.767545	1
77	1.232	0.811502	1
78	1.248	0.828824	1
79	1.264	0.846024	1
80	1.280	0.861024	1
81	1.296	0.875606	1
82	1.312	0.888541	1
83	1.328	0.897276	1
84	1.344	0.894368	1
85	1.360	0.882008	1
86	1.376	0.890386	1
87	1.392	0.873648	1
88	1.408	0.861732	1
89	1.424	0.848266	1
90	1.440	0.865656	1
91	1.456	0.851013	1
92	1.472	0.851168	1
93	1.488	0.850902	1
94	1.504	0.834589	1
95	1.520	0.831758	1
96	1.536	0.839187	1
97	1.552	0.848988	1
98	1.568	0.775760	1
99	1.584	0.785575	1
100	1.600	0.858995	1
101	1.616	0.863495	1
102	1.632	0.832578	1
103	1.648	0.823588	1
104	1.664	0.837434	1
105	1.680	0.879522	1
106	1.696	0.893852	1
107	1.712	0.882728	1
108	1.728	0.881954	1
109	1.744	0.889274	1
110	1.760	0.904132	1
111	1.776	0.903210	1
112	1.792	0.937553	1
113	1.808	0.933301	1
114	1.824	0.868254	1
115	1.840	0.847789	1
116	1.856	0.857545	1
117	1.872	0.842124	1
118	1.888	0.854697	1
119	1.904	0.864784	1
120	1.920	0.762625	1
121	1.936	0.883513	1
122	1.952	0.853661	1
123	1.968	0.865446	1
124	1.984	0.843686	1
125	2.000	0.839404	1
126	2.016	0.815031	1
127	2.032	0.826496	1
128	2.048	0.850390	1
129	2.064	0.810217	1
130	2.080	0.806444	1
131	2.096	0.781445	1
132	2.112	0.835142	1
133	2.128	0.854136	1
134	2.144	0.853931	1
135	2.160	0.868272	1
136	2.176	0.868508	1
137	2.192	0.883426	1
138	2.208	0.922155	1
139	2.224	0.934244	1
140	2.240	0.936741	1
141	2.256	0.904952	1
142	2.272	0.877785	1
143	2.288	0.875843	1
144	2.304	0.885397	1
145	2.320	0.909727	1
146	2.336	0.897493	1
147	2.352	0.888129	1
148	2.368	0.898914	1
149	2.384	0.877110	1
150	2.400	0.857998	1
151	2.416	0.848690	1
152	2.432	0.811196	1
153	2.448	0.834067	1
154	2.464	0.816143	1
155	2.480	0.764302	1
156	2.496	0.781461	1
157	2.512	0.802104	1
158	2.528	0.804938	1
159	2.544	0.773879	1
160	2.560	0.729369	1
161	2.576	0.797788	1
162	2.592	0.810773	1
163	2.608	0.810617	1
164	2.624	0.815026	1
165	2.640	0.792992	1
166	2.656	0.802335	1
167	2.672	0.805569	1
168	2.688	0.777975	1
169	2.704	0.765477	1
170	2.720	0.818730	1
171	2.736	0.804266	1
172	2.752	0.805345	1
173	2.768	0.815380	1
174	2.784	0.811758	1
175	2.800	0.808479	1
176	2.816	0.815287	1
177	2.832	0.782945	1
178	2.848	0.815235	1
179	2.864	0.820627	1
180	2.880	0.799508	1
181	2.896	0.811485	1
182	2.912	0.802612	1
183	2.928	0.799114	1
184	2.944	0.826090	1
185	2.960	0.824884	1
186	2.976	0.763775	1
187	2.992	0.791466	1
188	3.008	0.774387	1
189	3.024	0.788688	1
190	3.040	0.792863	1
191	3.056	0.824532	1
192	3.072	0.754210	1
193	3.088	0.754026	1
194	3.104	0.723560	1
195	3.120	0.783955	1
196	3.136	0.722843	1
197	3.152	0.766528	1
198	3.168	0.806816	1
199	3.184	0.794994	1
200	3.200	0.780484	1
201	3.216	0.772766	1
202	3.232	0.782615	1
203	3.248	0.870766	1
204	3.264	0.838455	1
205	3.280	0.846422	1
206	3.296	0.850241	1
207	3.312	0.844700	1
208	3.328	0.852311	1
209	3.344	0.879196	1
210	3.360	0.882688	1
211	3.376	0.907431	1
212	3.392	0.886742	1
213	3.408	0.874234	1
214	3.424	0.877849	1
215	3.440	0.871671	1
216	3.456	0.872425	1
217	3.472	0.894568	1
218	3.488	0.892452	1
219	3.504	0.886723	1
220	3.520	0.873286	1
221	3.536	0.869304	1
222	3.552	0.881262	1
223	3.568	0.879617	1
224	3.584	0.845278	1
225	3.600	0.851598	1
226	3.616	0.856435	1
227	3.632	0.839729	1
228	3.648	0.836496	1
229	3.664	0.814606	1
230	3.680	0.787196	1
231	3.696	0.767218	1
232	3.712	0.748747	1
233	3.728	0.772276	1
234	3.744	0.760980	1
235	3.760	0.728221	1
236	3.776	0.824840	1
237	3.792	0.827277	1
238	3.808	0.834630	1
239	3.824	0.847918	1
240	3.840	0.862181	1
241	3.856	0.855398	1
242	3.872	0.868868	1
243	3.888	0.874377	1
244	3.904	0.879180	1
245	3.920	0.888216	1
246	3.936	0.900660	1
247	3.952	0.878989	1
248	3.968	0.892410	1
249	3.984	0.891475	1
250	4.000	0.856564	1
251	4.016	0.913789	1
252	4.032	0.883158	1
253	4.048	0.920722	1
254	4.064	0.871895	1
255	4.080	0.833506	1
