Frame	Timestamp(s)	VAD_Score	VAD_Result
0	0.000	0.693763	1
1	0.016	0.736683	1
2	0.032	0.787702	1
3	0.048	0.769269	1
4	0.064	0.786583	1
5	0.080	0.781665	1
6	0.096	0.788731	1
7	0.112	0.787327	1
8	0.128	0.811212	1
9	0.144	0.813722	1
10	0.160	0.795671	1
11	0.176	0.816045	1
12	0.192	0.832182	1
13	0.208	0.834143	1
14	0.224	0.846886	1
15	0.240	0.860836	1
16	0.256	0.869412	1
17	0.272	0.863850	1
18	0.288	0.858047	1
19	0.304	0.851552	1
20	0.320	0.866300	1
21	0.336	0.862349	1
22	0.352	0.869973	1
23	0.368	0.870749	1
24	0.384	0.856938	1
25	0.400	0.850087	1
26	0.416	0.905460	1
27	0.432	0.873529	1
28	0.448	0.856608	1
29	0.464	0.868878	1
30	0.480	0.849385	1
31	0.496	0.881238	1
32	0.512	0.883574	1
33	0.528	0.904831	1
34	0.544	0.869020	1
35	0.560	0.865121	1
36	0.576	0.884385	1
37	0.592	0.860292	1
38	0.608	0.852132	1
39	0.624	0.854106	1
40	0.640	0.841471	1
41	0.656	0.828578	1
42	0.672	0.818032	1
43	0.688	0.848852	1
44	0.704	0.849357	1
45	0.720	0.827318	1
46	0.736	0.787667	1
47	0.752	0.827295	1
48	0.768	0.843036	1
49	0.784	0.859810	1
50	0.800	0.850001	1
51	0.816	0.842815	1
52	0.832	0.820365	1
53	0.848	0.736718	1
54	0.864	0.779444	1
55	0.880	0.827314	1
56	0.896	0.843883	1
57	0.912	0.831803	1
58	0.928	0.796933	1
59	0.944	0.821701	1
60	0.960	0.841233	1
61	0.976	0.834457	1
62	0.992	0.821845	1
63	1.008	0.846269	1
64	1.024	0.850813	1
65	1.040	0.820685	1
66	1.056	0.801595	1
67	1.072	0.844739	1
68	1.088	0.842787	1
69	1.104	0.832137	1
70	1.120	0.814388	1
71	1.136	0.772191	1
72	1.152	0.769813	1
73	1.168	0.770032	1
74	1.184	0.773433	1
75	1.200	0.818236	1
76	1.216	0.792307	1
77	1.232	0.805783	1
78	1.248	0.825369	1
79	1.264	0.805850	1
80	1.280	0.822010	1
81	1.296	0.823694	1
82	1.312	0.832427	1
83	1.328	0.829030	1
84	1.344	0.811683	1
85	1.360	0.826544	1
86	1.376	0.826764	1
87	1.392	0.819305	1
88	1.408	0.816211	1
89	1.424	0.825401	1
90	1.440	0.819867	1
91	1.456	0.805266	1
92	1.472	0.793959	1
93	1.488	0.824817	1
94	1.504	0.818697	1
95	1.520	0.801539	1
96	1.536	0.769367	1
97	1.552	0.848516	1
98	1.568	0.869682	1
99	1.584	0.783578	1
100	1.600	0.752235	1
101	1.616	0.744612	1
102	1.632	0.751652	1
103	1.648	0.761399	1
104	1.664	0.763860	1
105	1.680	0.762796	1
106	1.696	0.786711	1
107	1.712	0.810200	1
108	1.728	0.794284	1
109	1.744	0.781318	1
110	1.760	0.783628	1
111	1.776	0.782732	1
112	1.792	0.820515	1
113	1.808	0.838785	1
114	1.824	0.864235	1
115	1.840	0.827036	1
116	1.856	0.766040	1
117	1.872	0.724597	1
118	1.888	0.785929	1
119	1.904	0.809395	1
120	1.920	0.784240	1
121	1.936	0.794339	1
122	1.952	0.811882	1
123	1.968	0.822466	1
124	1.984	0.817767	1
125	2.000	0.757378	1
126	2.016	0.741754	1
127	2.032	0.751073	1
128	2.048	0.725998	1
129	2.064	0.768443	1
130	2.080	0.744715	1
131	2.096	0.787129	1
132	2.112	0.787342	1
133	2.128	0.774414	1
134	2.144	0.804623	1
135	2.160	0.798297	1
136	2.176	0.827945	1
137	2.192	0.834896	1
138	2.208	0.821672	1
139	2.224	0.810068	1
140	2.240	0.819061	1
141	2.256	0.830468	1
142	2.272	0.793800	1
143	2.288	0.789161	1
144	2.304	0.798142	1
145	2.320	0.841448	1
146	2.336	0.801179	1
147	2.352	0.796595	1
148	2.368	0.829240	1
149	2.384	0.804317	1
150	2.400	0.797714	1
151	2.416	0.802263	1
152	2.432	0.807725	1
153	2.448	0.794447	1
154	2.464	0.819684	1
155	2.480	0.785267	1
156	2.496	0.817991	1
157	2.512	0.820789	1
158	2.528	0.821705	1
159	2.544	0.802022	1
160	2.560	0.820215	1
161	2.576	0.828150	1
162	2.592	0.806382	1
163	2.608	0.818095	1
